case_id,profile_fixture_id,profile_archetype_id,behavior,target_source_ids,target_titles,query_style,raw_query,lesson_difficulty,lab_difficulty,assessment_difficulty,assessment_blueprint,lab_shape,counterfactual_group_id,dynamic_action,manual_review_focus,tags
KB26-M-P03-03,P03,business-data-job-basic,apply,K011,元组与集合,mixed_language,想学 元组与集合，please help me 在新例子中应用，需要 runnable lab、边界说明和 short assessment。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K011,,lab,apply|single_target|mixed_language
KB26-M-P03-04,P03,business-data-job-basic,apply,K012,字符串常用操作,typo_noisy,字符串常用操作这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K012,,assessment,apply|single_target|typo_noisy
KB26-M-P03-05,P03,business-data-job-basic,apply,K013,函数定义与调用,structured,请围绕“函数定义与调用”安排一次个性化学习，目标是在新例子中应用；需要讲义、可运行代码实验和正式分阶测评。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K013,,lesson,apply|single_target|structured
KB26-M-P03-06,P03,business-data-job-basic,apply,K014,参数与返回值,colloquial,我在“参数与返回值”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K014,,lab,apply|single_target|colloquial
KB26-M-P03-07,P03,business-data-job-basic,apply,K015,文件读写,goal_oriented,为了能编写列表、字典、字符串和文件处理脚本，我需要掌握文件读写，请按我现在的基础把任务安排到能在新例子中应用。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K015,,assessment,apply|single_target|goal_oriented
KB26-M-P03-08,P03,business-data-job-basic,apply,K016,异常处理,fragmentary,异常处理；在新例子中应用；例子、在线练习、测验都要。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K016,,lesson,apply|single_target|fragmentary
KB26-M-P03-09,P03,business-data-job-basic,apply,K017,模块导入,mixed_language,想学 模块导入，please help me 在新例子中应用，需要 runnable lab、边界说明和 short assessment。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K017,,lab,apply|single_target|mixed_language
KB26-M-P03-10,P03,business-data-job-basic,apply,K018,成绩统计器综合项目,typo_noisy,成绩统计器综合项目这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K018,,assessment,apply|single_target|typo_noisy
KB26-M-P04-01,P04,cs-competition-intermediate,apply,K004,输入输出,structured,请围绕“输入输出”安排一次个性化学习，目标是在新例子中应用；需要讲义、可运行代码实验和正式分阶测评。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,,,lesson,apply|single_target|structured
KB26-M-P04-02,P04,cs-competition-intermediate,apply,K007,for 循环,colloquial,我在“for 循环”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,,,lab,apply|single_target|colloquial
KB26-M-P04-03,P04,cs-competition-intermediate,apply,K013,函数定义与调用,goal_oriented,为了能追踪程序状态并处理边界样例，我需要掌握函数定义与调用，请按我现在的基础把任务安排到能在新例子中应用。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,,,assessment,apply|single_target|goal_oriented
KB26-M-P04-04,P04,cs-competition-intermediate,apply,K016,异常处理,fragmentary,异常处理；在新例子中应用；例子、在线练习、测验都要。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,,,lesson,apply|single_target|fragmentary
KB26-M-P04-05,P04,cs-competition-intermediate,trace,K013,函数定义与调用,mixed_language,想学 函数定义与调用，please help me 跟踪状态和输出，需要 runnable lab、边界说明和 short assessment。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,CF-K013,,lab,trace|single_target|mixed_language
KB26-M-P04-06,P04,cs-competition-intermediate,trace,K014,参数与返回值,typo_noisy,参数与返回值这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,CF-K014,,assessment,trace|single_target|typo_noisy
KB26-M-P04-07,P04,cs-competition-intermediate,trace,K015,文件读写,structured,请围绕“文件读写”安排一次个性化学习，目标是跟踪状态和输出；需要讲义、可运行代码实验和正式分阶测评。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,CF-K015,,lesson,trace|single_target|structured
KB26-M-P04-08,P04,cs-competition-intermediate,trace,K016,异常处理,colloquial,我在“异常处理”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,CF-K016,,lab,trace|single_target|colloquial
KB26-M-P04-09,P04,cs-competition-intermediate,trace,K017,模块导入,goal_oriented,为了能追踪程序状态并处理边界样例，我需要掌握模块导入，请按我现在的基础把任务安排到能跟踪状态和输出。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,CF-K017,,assessment,trace|single_target|goal_oriented
KB26-M-P04-10,P04,cs-competition-intermediate,trace,K018,成绩统计器综合项目,fragmentary,成绩统计器综合项目；跟踪状态和输出；例子、在线练习、测验都要。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,CF-K018,,lesson,trace|single_target|fragmentary
KB26-M-P05-01,P05,java-to-python-job,trace,K002|K005|K006,变量与赋值|运算符|条件判断,mixed_language,想学 变量与赋值、运算符、条件判断，please help me 跟踪状态和输出，需要 runnable lab、边界说明和 short assessment。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,,reinforce,lab,trace|multi_target|mixed_language|dynamic
KB26-M-P05-02,P05,java-to-python-job,trace,K003|K004|K005,基本数据类型|输入输出|运算符,typo_noisy,基本数据类型、输入输出、运算符这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,,advance,assessment,trace|multi_target|typo_noisy|dynamic
KB26-M-P05-03,P05,java-to-python-job,trace,K007|K009,for 循环|列表,structured,请围绕“for 循环、列表”安排一次个性化学习，目标是跟踪状态和输出；需要讲义、可运行代码实验和正式分阶测评。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,,reinforce,lesson,trace|multi_target|structured|dynamic
KB26-M-P05-04,P05,java-to-python-job,trace,K013|K014|K017,函数定义与调用|参数与返回值|模块导入,colloquial,我在“函数定义与调用、参数与返回值、模块导入”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,basic,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":3,""tier_3_count"":1,""required_modalities"":[""trace""]}",trace_then_modify,,advance,lab,trace|multi_target|colloquial|dynamic
KB26-M-P05-05,P05,java-to-python-job,debug,K006|K007|K009,条件判断|for 循环|列表,goal_oriented,为了在岗位任务中完成日志处理、错误定位和代码验收，我需要掌握条件判断、for 循环、列表，请按我现在的基础把任务安排到能定位并修复错误。,intermediate,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":2,""required_modalities"":[""trace"",""code""]}",fault_localization,,reprofile,assessment,debug|multi_target|goal_oriented|dynamic
KB26-M-P05-06,P05,java-to-python-job,debug,K005|K008,运算符|while 循环,fragmentary,运算符、while 循环；定位并修复错误；例子、在线练习、测验都要。,intermediate,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":2,""required_modalities"":[""trace"",""code""]}",fault_localization,,remediate,lesson,debug|multi_target|fragmentary|dynamic
KB26-M-P05-07,P05,java-to-python-job,debug,K010|K011,字典|元组与集合,mixed_language,想学 字典、元组与集合，please help me 定位并修复错误，需要 runnable lab、边界说明和 short assessment。,intermediate,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":2,""required_modalities"":[""trace"",""code""]}",fault_localization,,reinforce,lab,debug|multi_target|mixed_language|dynamic
KB26-M-P05-08,P05,java-to-python-job,debug,K003|K012,基本数据类型|字符串常用操作,typo_noisy,基本数据类型、字符串常用操作这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,intermediate,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":2,""required_modalities"":[""trace"",""code""]}",fault_localization,,advance,assessment,debug|multi_target|typo_noisy|dynamic
KB26-M-P05-09,P05,java-to-python-job,debug,K015|K016,文件读写|异常处理,structured,请围绕“文件读写、异常处理”安排一次个性化学习，目标是定位并修复错误；需要讲义、可运行代码实验和正式分阶测评。,intermediate,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":2,""required_modalities"":[""trace"",""code""]}",fault_localization,,remediate,lesson,debug|multi_target|structured|dynamic
KB26-M-P05-10,P05,java-to-python-job,debug,K013|K014,函数定义与调用|参数与返回值,colloquial,我在“函数定义与调用、参数与返回值”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,intermediate,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":2,""required_modalities"":[""trace"",""code""]}",fault_localization,,reprofile,lab,debug|multi_target|colloquial|dynamic
KB26-M-P06-01,P06,software-project-integrated,debug,K004|K016,输入输出|异常处理,goal_oriented,为了完成带输入校验、异常处理和模块拆分的 Python 项目，我需要掌握输入输出、异常处理，请按我现在的基础把任务安排到能定位并修复错误。,intermediate,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":2,""required_modalities"":[""trace"",""code""]}",fault_localization,,remediate,assessment,debug|multi_target|goal_oriented|dynamic
KB26-M-P06-02,P06,software-project-integrated,debug,K007|K009|K018,for 循环|列表|成绩统计器综合项目,fragmentary,for 循环、列表、成绩统计器综合项目；定位并修复错误；例子、在线练习、测验都要。,intermediate,intermediate,intermediate,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":2,""required_modalities"":[""trace"",""code""]}",fault_localization,,advance,lesson,debug|multi_target|fragmentary|dynamic
KB26-M-P06-03,P06,software-project-integrated,create,K004|K006|K016,输入输出|条件判断|异常处理,mixed_language,想学 输入输出、条件判断、异常处理，please help me 独立设计并完成，需要 runnable lab、边界说明和 short assessment。,intermediate,integrated,integrated,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":3,""required_modalities"":[""short_answer"",""code""]}",open_project,,,lab,create|multi_target|mixed_language
KB26-M-P06-04,P06,software-project-integrated,create,K007|K009|K018,for 循环|列表|成绩统计器综合项目,typo_noisy,for 循环、列表、成绩统计器综合项目这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,intermediate,integrated,integrated,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":3,""required_modalities"":[""short_answer"",""code""]}",open_project,,,assessment,create|multi_target|typo_noisy
KB26-M-P06-05,P06,software-project-integrated,create,K010|K012,字典|字符串常用操作,structured,请围绕“字典、字符串常用操作”安排一次个性化学习，目标是独立设计并完成；需要讲义、可运行代码实验和正式分阶测评。,intermediate,integrated,integrated,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":3,""required_modalities"":[""short_answer"",""code""]}",open_project,,,lesson,create|multi_target|structured
KB26-M-P06-06,P06,software-project-integrated,create,K013|K014|K017,函数定义与调用|参数与返回值|模块导入,colloquial,我在“函数定义与调用、参数与返回值、模块导入”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,intermediate,integrated,integrated,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":3,""required_modalities"":[""short_answer"",""code""]}",open_project,,,lab,create|multi_target|colloquial
KB26-M-P06-07,P06,software-project-integrated,create,K012|K015|K016,字符串常用操作|文件读写|异常处理,goal_oriented,为了完成带输入校验、异常处理和模块拆分的 Python 项目，我需要掌握字符串常用操作、文件读写、异常处理，请按我现在的基础把任务安排到能独立设计并完成。,intermediate,integrated,integrated,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":3,""required_modalities"":[""short_answer"",""code""]}",open_project,,,assessment,create|multi_target|goal_oriented
KB26-M-P06-08,P06,software-project-integrated,create,K009|K010|K013,列表|字典|函数定义与调用,fragmentary,列表、字典、函数定义与调用；独立设计并完成；例子、在线练习、测验都要。,intermediate,integrated,integrated,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":3,""required_modalities"":[""short_answer"",""code""]}",open_project,,,lesson,create|multi_target|fragmentary
KB26-M-P06-09,P06,software-project-integrated,create,K005|K008|K013,运算符|while 循环|函数定义与调用,mixed_language,想学 运算符、while 循环、函数定义与调用，please help me 独立设计并完成，需要 runnable lab、边界说明和 short assessment。,intermediate,integrated,integrated,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":3,""required_modalities"":[""short_answer"",""code""]}",open_project,,,lab,create|multi_target|mixed_language
KB26-M-P06-10,P06,software-project-integrated,create,K013|K015|K016|K017,函数定义与调用|文件读写|异常处理|模块导入,typo_noisy,函数定义与调用、文件读写、异常处理、模块导入这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,intermediate,integrated,integrated,"{""tier_1_count"":1,""tier_2_count"":2,""tier_3_count"":3,""required_modalities"":[""short_answer"",""code""]}",open_project,,,assessment,create|multi_target|typo_noisy
