case_id,artifact_kind,candidate_hash,expected_difficulty,basis,reviewer_1,reviewer_1_decision,reviewer_2,reviewer_2_decision,adjudicator,adjudication,rationale
KB26-M-P01-04,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-04,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P01-05,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
KB26-M-P01-05,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-05,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P01-06,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
KB26-M-P01-06,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-06,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P01-07,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
KB26-M-P01-07,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-07,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P01-08,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
KB26-M-P01-08,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-08,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P01-09,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
KB26-M-P01-09,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-09,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P01-10,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
KB26-M-P01-10,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-10,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P02-01,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:407b879d9ccd980c2c8382fec1eed0ceca77326e7ee0f4d63fcdf31c087bb32c,,,,,,,
KB26-M-P02-01,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P02-01,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P02-02,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:407b879d9ccd980c2c8382fec1eed0ceca77326e7ee0f4d63fcdf31c087bb32c,,,,,,,
KB26-M-P02-02,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P02-02,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P02-03,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P02-03,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P02-03,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P02-04,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P02-04,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P02-04,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P02-05,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P02-05,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P02-05,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P02-06,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P02-06,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P02-06,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P02-07,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P02-07,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P02-07,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P02-08,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P02-08,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P02-08,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P02-09,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P02-09,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P02-09,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P02-10,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P02-10,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P02-10,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-01,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-01,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-01,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-02,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-02,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-02,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-03,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-03,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-03,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-04,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-04,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-04,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-05,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-05,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-05,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-06,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-06,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-06,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-07,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-07,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-07,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-08,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-08,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-08,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-09,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-09,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-09,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P03-10,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:70f5da4f5fe2381ea7fd334e4f399f300c7088b7e9cf8d5ee8679b5b2a5f37a8,,,,,,,
KB26-M-P03-10,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P03-10,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P04-01,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:2bcddb8eee62c40c1cb6ffca2bcbd83b9ac461229dafa53175ae0af9643a3b21,,,,,,,
KB26-M-P04-01,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P04-01,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P04-02,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:2bcddb8eee62c40c1cb6ffca2bcbd83b9ac461229dafa53175ae0af9643a3b21,,,,,,,
KB26-M-P04-02,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=guided_implementation;task=sha256:f1852a4b27946d6aed1163cfbc9954cd3cb778cc871570dd920e2966ad25a50a,,,,,,,
KB26-M-P04-02,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=five_item_tiered;task=sha256:0ab45eefeb94953392d153c7a6aaf93c3d30b5fc2889d49345d1abc6d22842f9,,,,,,,
KB26-M-P04-03,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,basic,behavior=apply;targets=1;shape=task_steps_transfer;task=sha256:2bcddb8eee62c40c1cb6ffca2bcbd83b9ac461229dafa53175ae0af9643a3b21,,,,,,,
